Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Unnamed: 7,Quantity,Purchase_Date,Manufacturing_Date,Expiry_Date,Remainder_Time,Frequency,Remaining_Stock,Status,Reminder_Time
Cefmet,Antidepressant,Injection,512 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,,90,2025-12-10,2025-10-21,2027-10-21,,Once Daily,55,Active,08:00 AM
Doloprofen,Antibiotic,Inhaler,981 mg,Eli Lilly and Company,Fungus,Over-the-Counter,,120,2026-02-22,2025-09-14,2027-09-14,,Three Times Daily,44,Active,09:00 AM
Clariprofen,Antifungal,Tablet,123 mg,Pfizer Inc.,Infection,Prescription,,15,2025-10-14,2025-08-20,2027-08-20,,Weekly,15,Completed,06:00 PM
Metocillin,Analgesic,Tablet,892 mg,Eli Lilly and Company,Pain,Over-the-Counter,,30,2026-07-21,2026-04-19,2028-04-18,,Three Times Daily,2,Completed,06:00 PM
Ibupromycin,Analgesic,Capsule,97 mg,Roche Holding AG,Diabetes,Over-the-Counter,,30,2026-06-03,2026-04-10,2028-04-09,,Weekly,14,Active,09:00 AM
Cefstatin,Antipyretic,Ointment,19 mg,Roche Holding AG,Fever,Prescription,,30,2026-06-30,2026-02-03,2028-02-03,,Twice Daily,25,Active,09:00 PM
Metomycin,Antifungal,Capsule,718 mg,Pfizer Inc.,Wound,Over-the-Counter,,15,2026-06-26,2026-01-12,2028-01-12,,Once Daily,14,Active,08:00 AM
Acetomycin,Antifungal,Syrup,605 mg,Bayer AG,Virus,Over-the-Counter,,30,2025-09-27,2025-08-01,2027-08-01,,Twice Daily,3,Completed,01:00 PM
Metoprofen,Antiseptic,Capsule,319 mg,Novartis AG,Wound,Prescription,,30,2025-10-22,2025-07-05,2027-07-05,,Weekly,30,Completed,09:00 PM
Clarivir,Analgesic,Tablet,14 mg,Bristol-Myers Squibb Company,Pain,Prescription,,15,2026-06-11,2026-01-29,2028-01-29,,Twice Daily,9,Active,09:00 PM
Ibuproprofen,Analgesic,Cream,178 mg,CSL Limited,Pain,Over-the-Counter,,120,2026-06-30,2026-04-17,2028-04-16,,Once Daily,23,Active,06:00 PM
Metocillin,Antibiotic,Cream,106 mg,Amgen Inc.,Depression,Over-the-Counter,,120,2026-03-06,2025-11-14,2027-11-14,,Weekly,69,Active,08:00 AM
Cefprofen,Antiseptic,Tablet,245 mg,Novartis AG,Pain,Over-the-Counter,,30,2025-12-03,2025-10-21,2027-10-21,,Weekly,6,Completed,09:00 AM
Dextromycin,Antipyretic,Capsule,986 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter,,15,2025-08-26,2025-03-04,2027-03-04,,Three Times Daily,14,Active,08:00 AM
Acetonazole,Antidepressant,Ointment,93 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,,90,2026-02-16,2025-09-21,2027-09-21,,Three Times Daily,13,Active,09:00 PM
Dextromycin,Antibiotic,Inhaler,920 mg,AbbVie Inc.,Pain,Over-the-Counter,,15,2026-01-16,2025-09-07,2027-09-07,,Weekly,3,Active,09:00 AM
Ibupromycin,Antipyretic,Injection,760 mg,Boehringer Ingelheim GmbH,Wound,Prescription,,90,2026-07-02,2026-05-21,2028-05-20,,Three Times Daily,80,Completed,06:00 PM
Amoxicillin,Analgesic,Cream,594 mg,Amgen Inc.,Fungus,Over-the-Counter,,120,2026-05-25,2026-01-13,2028-01-13,,Once Daily,109,Completed,08:00 AM
Ibupronazole,Antiseptic,Cream,747 mg,Eli Lilly and Company,Pain,Prescription,,90,2025-09-04,2025-05-22,2027-05-22,,Once Daily,76,Completed,01:00 PM
Clariprofen,Antidiabetic,Injection,650 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription,,15,2026-06-08,2025-12-30,2027-12-30,,Once Daily,14,Completed,01:00 PM
Ibupromycin,Antibiotic,Inhaler,486 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription,,30,2026-01-06,2025-10-06,2027-10-06,,Three Times Daily,4,Active,09:00 PM
Acetophen,Analgesic,Cream,76 mg,"Merck & Co., Inc.",Virus,Over-the-Counter,,15,2026-04-21,2025-10-27,2027-10-27,,Three Times Daily,8,Completed,06:00 PM
Dextrostatin,Antifungal,Capsule,296 mg,"Merck & Co., Inc.",Wound,Prescription,,15,2025-08-15,2025-06-24,2027-06-24,,Three Times Daily,5,Active,09:00 AM
Dolomet,Antiseptic,Tablet,352 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter,,30,2026-01-02,2025-10-24,2027-10-24,,Three Times Daily,10,Completed,09:00 PM
Metophen,Antiseptic,Tablet,404 mg,AstraZeneca plc,Virus,Prescription,,15,2025-12-04,2025-10-11,2027-10-11,,Weekly,6,Completed,08:00 AM
Clariphen,Antipyretic,Syrup,956 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter,,90,2026-04-28,2025-12-27,2027-12-27,,Three Times Daily,77,Completed,09:00 PM
Cefcillin,Antidiabetic,Ointment,517 mg,Roche Holding AG,Pain,Over-the-Counter,,120,2026-06-11,2026-03-01,2028-02-29,,Weekly,12,Active,01:00 PM
Amoximet,Antifungal,Capsule,727 mg,Johnson & Johnson,Pain,Over-the-Counter,,90,2026-07-15,2026-02-04,2028-02-04,,Once Daily,24,Completed,01:00 PM
Amoxivir,Antifungal,Syrup,289 mg,Novartis AG,Virus,Over-the-Counter,,60,2025-09-06,2025-07-22,2027-07-22,,Three Times Daily,15,Completed,01:00 PM
Metophen,Antidiabetic,Drops,44 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter,,30,2025-12-21,2025-09-23,2027-09-23,,Weekly,17,Completed,09:00 PM
Clariphen,Analgesic,Ointment,742 mg,AbbVie Inc.,Depression,Over-the-Counter,,120,2026-02-25,2025-09-16,2027-09-16,,Weekly,52,Completed,01:00 PM
Cefmet,Antidepressant,Injection,720 mg,Sanofi S.A.,Diabetes,Prescription,,120,2025-10-29,2025-06-24,2027-06-24,,Twice Daily,14,Completed,06:00 PM
Cefnazole,Antiviral,Inhaler,520 mg,CSL Limited,Diabetes,Prescription,,30,2026-04-15,2025-11-27,2027-11-27,,Weekly,26,Active,09:00 AM
Acetovir,Antidepressant,Injection,188 mg,"Gilead Sciences, Inc.",Wound,Prescription,,90,2026-01-09,2025-10-15,2027-10-15,,Once Daily,87,Active,06:00 PM
Dextrophen,Analgesic,Inhaler,406 mg,"Merck & Co., Inc.",Wound,Over-the-Counter,,15,2026-05-09,2026-01-14,2028-01-14,,Twice Daily,15,Active,06:00 PM
Amoxinazole,Analgesic,Ointment,35 mg,Pfizer Inc.,Depression,Prescription,,60,2026-04-10,2026-02-19,2028-02-19,,Weekly,57,Active,06:00 PM
Dextromet,Antiviral,Syrup,564 mg,AstraZeneca plc,Fever,Prescription,,15,2025-08-12,2025-03-11,2027-03-11,,Weekly,8,Completed,06:00 PM
Clarinazole,Antibiotic,Syrup,252 mg,Novartis AG,Infection,Over-the-Counter,,60,2026-07-30,2026-02-20,2028-02-20,,Twice Daily,50,Active,08:00 AM
Ibuproprofen,Antidepressant,Inhaler,832 mg,Amgen Inc.,Fungus,Over-the-Counter,,15,2026-07-28,2026-04-02,2028-04-01,,Once Daily,11,Completed,09:00 PM
Clarinazole,Analgesic,Tablet,234 mg,Novartis AG,Diabetes,Prescription,,90,2025-09-03,2025-04-01,2027-04-01,,Three Times Daily,37,Active,09:00 AM
Clariprofen,Antidepressant,Cream,801 mg,Boehringer Ingelheim GmbH,Infection,Prescription,,15,2025-10-22,2025-05-10,2027-05-10,,Three Times Daily,9,Completed,08:00 AM
Clarimycin,Antibiotic,Syrup,254 mg,Biogen Inc.,Pain,Over-the-Counter,,15,2025-09-20,2025-07-03,2027-07-03,,Once Daily,11,Completed,09:00 PM
Acetostatin,Analgesic,Inhaler,490 mg,CSL Limited,Diabetes,Prescription,,15,2025-10-29,2025-08-23,2027-08-23,,Three Times Daily,14,Completed,01:00 PM
Ibuprophen,Antifungal,Ointment,967 mg,AbbVie Inc.,Depression,Over-the-Counter,,30,2025-10-12,2025-04-28,2027-04-28,,Once Daily,7,Completed,06:00 PM
Ibuprovir,Antiseptic,Capsule,5 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter,,120,2025-12-31,2025-09-22,2027-09-22,,Twice Daily,60,Completed,08:00 AM
Cefnazole,Antifungal,Capsule,83 mg,Eli Lilly and Company,Fungus,Over-the-Counter,,60,2026-01-01,2025-09-20,2027-09-20,,Once Daily,8,Active,09:00 AM
Amoxinazole,Antidiabetic,Tablet,489 mg,Sanofi S.A.,Pain,Over-the-Counter,,15,2026-03-06,2026-02-02,2028-02-02,,Once Daily,13,Completed,06:00 PM
Metovir,Antidiabetic,Inhaler,277 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter,,120,2026-07-22,2026-03-23,2028-03-22,,Once Daily,92,Completed,01:00 PM
Clarimet,Antidepressant,Injection,424 mg,AstraZeneca plc,Diabetes,Prescription,,90,2025-09-30,2025-05-31,2027-05-31,,Weekly,52,Active,08:00 AM
Acetomet,Antiviral,Drops,226 mg,GlaxoSmithKline plc,Pain,Prescription,,90,2025-08-26,2025-05-15,2027-05-15,,Once Daily,42,Completed,09:00 PM
Dolomet,Antidepressant,Syrup,82 mg,Johnson & Johnson,Infection,Prescription,,60,2025-12-30,2025-10-23,2027-10-23,,Three Times Daily,21,Completed,08:00 AM
Cefcillin,Antifungal,Inhaler,36 mg,Eli Lilly and Company,Depression,Over-the-Counter,,30,2025-11-30,2025-09-06,2027-09-06,,Once Daily,13,Active,06:00 PM
Metoprofen,Antifungal,Injection,288 mg,GlaxoSmithKline plc,Pain,Prescription,,60,2026-07-04,2026-03-12,2028-03-11,,Once Daily,54,Completed,09:00 AM
Claricillin,Antidiabetic,Tablet,734 mg,Novo Nordisk A/S,Virus,Prescription,,30,2026-01-16,2025-10-14,2027-10-14,,Twice Daily,8,Active,06:00 PM
Clariprofen,Antidepressant,Drops,379 mg,Bayer AG,Virus,Over-the-Counter,,90,2026-07-30,2026-03-08,2028-03-07,,Three Times Daily,30,Active,08:00 AM
Cefphen,Antifungal,Cream,991 mg,Bristol-Myers Squibb Company,Fungus,Prescription,,120,2026-07-27,2026-04-03,2028-04-02,,Once Daily,64,Active,01:00 PM
Metophen,Antifungal,Tablet,346 mg,"Merck & Co., Inc.",Diabetes,Prescription,,15,2026-05-05,2026-01-07,2028-01-07,,Once Daily,3,Active,09:00 PM
Ibuprocillin,Antidepressant,Inhaler,903 mg,Bristol-Myers Squibb Company,Infection,Prescription,,30,2025-11-15,2025-09-16,2027-09-16,,Weekly,8,Active,06:00 PM
Metoprofen,Antibiotic,Drops,304 mg,Eli Lilly and Company,Diabetes,Prescription,,60,2026-03-02,2026-01-30,2028-01-30,,Once Daily,25,Completed,09:00 PM
Metostatin,Antipyretic,Ointment,982 mg,CSL Limited,Pain,Over-the-Counter,,15,2025-08-14,2025-02-24,2027-02-24,,Three Times Daily,9,Completed,01:00 PM
Cefstatin,Antidiabetic,Cream,214 mg,Biogen Inc.,Virus,Over-the-Counter,,15,2025-09-30,2025-06-01,2027-06-01,,Three Times Daily,5,Completed,09:00 AM
Clarimet,Antidiabetic,Inhaler,646 mg,Sanofi S.A.,Diabetes,Over-the-Counter,,60,2026-04-01,2025-12-02,2027-12-02,,Once Daily,39,Completed,09:00 AM
Amoxistatin,Antibiotic,Capsule,819 mg,Novo Nordisk A/S,Depression,Over-the-Counter,,30,2025-10-22,2025-07-13,2027-07-13,,Twice Daily,30,Active,09:00 AM
Metovir,Antidiabetic,Drops,656 mg,GlaxoSmithKline plc,Pain,Prescription,,15,2026-07-10,2026-03-25,2028-03-24,,Twice Daily,9,Completed,01:00 PM
Ibupromycin,Analgesic,Ointment,382 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter,,15,2025-09-07,2025-08-03,2027-08-03,,Once Daily,6,Active,09:00 PM
Dextronazole,Antiseptic,Tablet,367 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription,,15,2025-11-23,2025-08-10,2027-08-10,,Weekly,13,Completed,01:00 PM
Dolonazole,Antifungal,Ointment,533 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,,60,2026-07-07,2026-02-28,2028-02-28,,Twice Daily,28,Completed,08:00 AM
Acetostatin,Antipyretic,Drops,498 mg,CSL Limited,Fever,Prescription,,15,2026-05-09,2026-02-04,2028-02-04,,Once Daily,7,Completed,08:00 AM
Cefmet,Analgesic,Inhaler,969 mg,"Merck & Co., Inc.",Depression,Prescription,,90,2026-01-12,2025-12-04,2027-12-04,,Three Times Daily,49,Active,09:00 PM
Doloprofen,Antipyretic,Inhaler,338 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter,,90,2026-02-10,2025-12-09,2027-12-09,,Once Daily,86,Completed,06:00 PM
Claristatin,Antipyretic,Capsule,47 mg,Pfizer Inc.,Infection,Prescription,,30,2026-06-22,2026-05-18,2028-05-17,,Weekly,5,Active,09:00 AM
Acetovir,Antibiotic,Capsule,940 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription,,15,2026-07-31,2026-02-06,2028-02-06,,Once Daily,4,Active,01:00 PM
Amoxivir,Antidiabetic,Tablet,830 mg,AbbVie Inc.,Fever,Over-the-Counter,,15,2026-06-19,2026-03-07,2028-03-06,,Three Times Daily,15,Active,01:00 PM
Dolonazole,Antiseptic,Injection,235 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter,,120,2026-02-05,2025-11-02,2027-11-02,,Three Times Daily,86,Active,09:00 AM
Ibuprophen,Antidepressant,Drops,976 mg,"Gilead Sciences, Inc.",Infection,Prescription,,15,2025-09-18,2025-06-26,2027-06-26,,Once Daily,12,Completed,06:00 PM
Acetostatin,Antidiabetic,Cream,722 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription,,90,2026-04-06,2026-02-12,2028-02-12,,Twice Daily,39,Completed,09:00 PM
Metomycin,Analgesic,Inhaler,108 mg,Roche Holding AG,Pain,Prescription,,120,2026-06-16,2026-02-19,2028-02-19,,Twice Daily,48,Completed,08:00 AM
Dextromet,Antiseptic,Syrup,998 mg,"Merck & Co., Inc.",Virus,Prescription,,120,2025-11-27,2025-09-19,2027-09-19,,Once Daily,60,Completed,09:00 PM
Metovir,Antifungal,Ointment,579 mg,Pfizer Inc.,Diabetes,Prescription,,120,2026-06-04,2026-01-11,2028-01-11,,Once Daily,21,Active,06:00 PM
Clarinazole,Antidiabetic,Injection,101 mg,Roche Holding AG,Pain,Prescription,,15,2025-09-23,2025-08-10,2027-08-10,,Once Daily,7,Active,01:00 PM
Amoximycin,Antipyretic,Syrup,808 mg,Roche Holding AG,Fungus,Over-the-Counter,,60,2026-06-18,2026-04-16,2028-04-15,,Three Times Daily,22,Active,06:00 PM
Dolomet,Analgesic,Drops,387 mg,Eli Lilly and Company,Diabetes,Over-the-Counter,,30,2026-07-02,2026-02-05,2028-02-05,,Three Times Daily,15,Completed,08:00 AM
Amoximycin,Antiviral,Capsule,382 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,,120,2025-08-06,2025-04-20,2027-04-20,,Three Times Daily,31,Completed,09:00 AM
Claristatin,Antidepressant,Injection,270 mg,Novo Nordisk A/S,Diabetes,Prescription,,60,2025-12-17,2025-08-23,2027-08-23,,Three Times Daily,45,Active,09:00 PM
Ibuprocillin,Antipyretic,Ointment,559 mg,Novartis AG,Wound,Over-the-Counter,,120,2026-04-27,2025-11-09,2027-11-09,,Twice Daily,85,Active,09:00 PM
Metophen,Antiseptic,Injection,156 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,,120,2026-05-21,2025-12-04,2027-12-04,,Once Daily,50,Active,09:00 AM
Acetoprofen,Antiviral,Injection,150 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription,,90,2026-03-30,2026-01-17,2028-01-17,,Twice Daily,49,Active,01:00 PM
Cefnazole,Antipyretic,Capsule,412 mg,GlaxoSmithKline plc,Infection,Prescription,,30,2025-11-19,2025-05-25,2027-05-25,,Weekly,2,Completed,08:00 AM
Amoxicillin,Antidepressant,Tablet,511 mg,Sanofi S.A.,Virus,Over-the-Counter,,90,2025-08-10,2025-05-26,2027-05-26,,Three Times Daily,56,Completed,01:00 PM
Claristatin,Antibiotic,Injection,572 mg,Novo Nordisk A/S,Wound,Over-the-Counter,,30,2026-03-05,2026-01-21,2028-01-21,,Three Times Daily,15,Active,09:00 PM
Dextrocillin,Antidepressant,Inhaler,328 mg,AbbVie Inc.,Depression,Over-the-Counter,,15,2026-05-03,2026-03-08,2028-03-07,,Twice Daily,15,Active,09:00 AM
Dextromycin,Antidiabetic,Ointment,948 mg,Johnson & Johnson,Diabetes,Over-the-Counter,,15,2026-01-18,2025-11-27,2027-11-27,,Three Times Daily,10,Completed,06:00 PM
Dolophen,Antibiotic,Tablet,20 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,,15,2025-09-21,2025-08-07,2027-08-07,,Once Daily,1,Active,09:00 AM
Metoprofen,Antiviral,Inhaler,771 mg,Johnson & Johnson,Wound,Prescription,,15,2026-02-02,2025-10-24,2027-10-24,,Once Daily,15,Active,06:00 PM
Dolomet,Antiviral,Tablet,347 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,,30,2025-08-14,2025-06-11,2027-06-11,,Twice Daily,21,Completed,09:00 PM
Amoximycin,Antidiabetic,Cream,876 mg,Bayer AG,Fungus,Prescription,,60,2026-01-01,2025-09-17,2027-09-17,,Twice Daily,56,Completed,09:00 PM
Dolomycin,Antidiabetic,Capsule,135 mg,Bayer AG,Fungus,Prescription,,15,2025-10-17,2025-08-23,2027-08-23,,Three Times Daily,9,Active,06:00 PM
Metophen,Antipyretic,Capsule,700 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,,120,2026-03-17,2025-10-08,2027-10-08,,Twice Daily,74,Active,08:00 AM
Dolomycin,Antidepressant,Inhaler,463 mg,"Merck & Co., Inc.",Wound,Prescription,,15,2025-11-11,2025-07-11,2027-07-11,,Once Daily,13,Completed,08:00 AM
Dolophen,Analgesic,Ointment,686 mg,CSL Limited,Pain,Prescription,,90,2025-09-21,2025-05-16,2027-05-16,,Once Daily,24,Completed,06:00 PM
Metonazole,Analgesic,Cream,124 mg,Pfizer Inc.,Fever,Prescription,,30,2025-12-18,2025-10-29,2027-10-29,,Weekly,28,Completed,06:00 PM
Metomet,Analgesic,Syrup,271 mg,Bayer AG,Fungus,Over-the-Counter,,30,2025-12-21,2025-09-01,2027-09-01,,Weekly,12,Active,01:00 PM
Acetomet,Analgesic,Capsule,211 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter,,15,2025-09-15,2025-06-22,2027-06-22,,Once Daily,11,Completed,01:00 PM
Doloprofen,Antipyretic,Syrup,567 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,,90,2025-08-08,2025-02-25,2027-02-25,,Weekly,19,Completed,08:00 AM
Dextrostatin,Antifungal,Cream,590 mg,Roche Holding AG,Virus,Over-the-Counter,,60,2026-07-03,2026-02-27,2028-02-27,,Three Times Daily,4,Completed,09:00 PM
Cefprofen,Antibiotic,Ointment,114 mg,Novo Nordisk A/S,Wound,Over-the-Counter,,60,2026-06-04,2026-04-14,2028-04-13,,Three Times Daily,34,Active,01:00 PM
Metomet,Antidepressant,Injection,406 mg,"Merck & Co., Inc.",Diabetes,Prescription,,30,2025-12-17,2025-06-20,2027-06-20,,Twice Daily,28,Completed,08:00 AM
Acetovir,Analgesic,Tablet,563 mg,CSL Limited,Virus,Prescription,,30,2025-09-20,2025-08-17,2027-08-17,,Once Daily,1,Completed,09:00 AM
Dextrovir,Antifungal,Inhaler,940 mg,Biogen Inc.,Diabetes,Prescription,,60,2026-03-11,2026-01-25,2028-01-25,,Once Daily,3,Active,09:00 PM
Clarivir,Antidiabetic,Drops,391 mg,Boehringer Ingelheim GmbH,Fever,Prescription,,30,2025-12-01,2025-10-21,2027-10-21,,Once Daily,22,Active,08:00 AM
Clarimycin,Antiviral,Cream,367 mg,"Merck & Co., Inc.",Virus,Prescription,,15,2025-08-15,2025-07-12,2027-07-12,,Three Times Daily,6,Active,08:00 AM
Amoxicillin,Antipyretic,Drops,941 mg,CSL Limited,Virus,Prescription,,90,2026-06-08,2026-02-15,2028-02-15,,Twice Daily,70,Active,08:00 AM
Clarivir,Antibiotic,Capsule,504 mg,Roche Holding AG,Diabetes,Over-the-Counter,,15,2026-07-06,2026-01-17,2028-01-17,,Three Times Daily,5,Active,09:00 AM
Metophen,Antidiabetic,Capsule,879 mg,Roche Holding AG,Fever,Over-the-Counter,,30,2025-10-14,2025-06-05,2027-06-05,,Weekly,30,Active,09:00 PM
Metonazole,Antibiotic,Drops,108 mg,Eli Lilly and Company,Infection,Over-the-Counter,,120,2025-11-18,2025-07-09,2027-07-09,,Once Daily,109,Active,09:00 AM
Dextronazole,Antibiotic,Ointment,917 mg,"Merck & Co., Inc.",Infection,Prescription,,30,2026-06-07,2026-03-28,2028-03-27,,Once Daily,11,Active,09:00 AM
Amoximycin,Antiseptic,Drops,410 mg,Roche Holding AG,Fungus,Prescription,,90,2026-01-30,2025-08-28,2027-08-28,,Twice Daily,3,Completed,08:00 AM
Ibupromycin,Antidepressant,Drops,197 mg,Roche Holding AG,Diabetes,Prescription,,90,2026-03-14,2025-09-25,2027-09-25,,Twice Daily,22,Completed,09:00 AM
Metovir,Antidepressant,Ointment,992 mg,"Merck & Co., Inc.",Pain,Prescription,,90,2025-10-28,2025-08-18,2027-08-18,,Three Times Daily,77,Active,08:00 AM
Metoprofen,Antibiotic,Ointment,792 mg,Johnson & Johnson,Virus,Prescription,,30,2025-09-22,2025-07-14,2027-07-14,,Weekly,23,Active,09:00 PM
Dextrophen,Antidepressant,Inhaler,363 mg,Roche Holding AG,Fungus,Over-the-Counter,,30,2025-11-19,2025-08-26,2027-08-26,,Weekly,13,Completed,06:00 PM
Cefstatin,Antiviral,Tablet,808 mg,CSL Limited,Fungus,Prescription,,60,2025-08-22,2025-03-09,2027-03-09,,Weekly,38,Active,09:00 AM
Acetocillin,Antiseptic,Capsule,263 mg,GlaxoSmithKline plc,Virus,Over-the-Counter,,15,2025-10-26,2025-04-29,2027-04-29,,Weekly,15,Active,01:00 PM
Metonazole,Antidiabetic,Cream,585 mg,Eli Lilly and Company,Fungus,Prescription,,120,2026-05-10,2026-03-29,2028-03-28,,Once Daily,106,Active,09:00 AM
Ibupronazole,Antifungal,Injection,646 mg,Roche Holding AG,Pain,Prescription,,30,2026-07-21,2026-03-10,2028-03-09,,Weekly,30,Completed,08:00 AM
